molecule_chembl_id,canonical_smiles,pAffinity,MW,logP,TPSA,HBD,HBA,RotB,AromR,QED,scaffold,peptide_like
CHEMBL3970491,C[C@@H]1C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCOc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,7.0,526.6090000000004,1.6556999999999997,109.00000000000001,3,6,3,2,0.5615361193813444,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2OCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3973513,C[C@@H]1C(=O)N[C@H](Cc2ccc(I)cc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,10.0,632.5430000000001,2.6750000000000007,99.77,3,5,3,2,0.4526040685162024,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3979911,C[C@@H]1C(=O)N[C@H](Cc2ccc(O)c(C(C)(C)C)c2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,578.7540000000002,3.073500000000002,120.00000000000001,4,6,3,2,0.44459092608689726,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3970827,C[C@@H]1C(=O)N[C@H](Cc2cccc(Cl)c2)C(=O)NC/C=C\c2ccccc2OCCNC2(CCCC2)C(=O)N1C,8.0,553.1030000000003,3.3386000000000013,99.77,3,5,2,2,0.5305562132143874,O=C1CNC(=O)C2(CCCC2)NCCOc2ccccc2C=CCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923624,C[C@@H]1C(=O)N[C@H](Cc2cccc(F)c2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,7.83889035263304,524.6370000000004,2.209500000000001,99.77,3,5,3,2,0.5719808933101728,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3929852,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccc3c(c2)OC(CC3)CN[C@@H](C2CC2)C(=O)N1C,8.0,532.6850000000003,2.3852,99.77,3,5,3,2,0.5639158356124312,O=C1CNC(=O)C(C2CC2)NCC2CCc3ccc(cc3O2)CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3983626,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN2CCCC[C@H]2C(=O)N1C,8.0,520.6740000000004,2.5567,90.98,2,5,2,2,0.6353527215557874,O=C1CNC(=O)C2CCCCN2CCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3965338,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN2CCC[C@H]2C(=O)N1C,7.0,506.6470000000004,2.1666,90.98,2,5,2,2,0.6516806464114622,O=C1CNC(=O)C2CCCN2CCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3939872,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C(C)(C)C)C(=O)N1C,10.0,522.6900000000003,2.7065,99.77,3,5,2,2,0.5633701332028164,O=C1CNCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)NC(=O)CN1,False
CHEMBL1923610,C[C@@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.178273661756906,506.64700000000033,2.0704,99.77,3,5,3,2,0.5920476566832851,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923623,C[C@@H]1C(=O)N[C@H](Cc2ccccc2F)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,9.103804155250874,524.6370000000004,2.209500000000001,99.77,3,5,3,2,0.5719808933101728,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3891381,C[C@@H]1C(=O)N[C@H](Cc2ccsc2)C(=O)NCCCc2ccccc2OCCN[C@@H](C2CC2)C(=O)N1C,8.0,512.6760000000003,2.131900000000001,99.77,3,6,3,2,0.5852825841652796,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccsc2)N1,False
CHEMBL3586029,C[C@@H]1CN(c2cnc(NCc3ccc4c(c3)OCC4)c(C(=O)NC[C@H]3COc4ccccc4O3)c2)C[C@H](C)O1,8.142667503568731,530.6250000000002,3.812000000000003,94.18,2,8,7,3,0.4764658475937777,O=C(NCC1COc2ccccc2O1)c1cc(N2CCOCC2)cnc1NCc1ccc2c(c1)OCC2,False
CHEMBL1923621,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(Cl)cc2)C(=O)NCCCc2ccccc2O1,7.823908740944319,555.1190000000003,3.112300000000002,99.77000000000001,3,5,3,2,0.5412858547960243,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923644,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccc(F)cc2O1,7.214670164989233,556.6540000000003,2.7371000000000016,99.77000000000001,3,5,3,2,0.5402155437046577,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923502,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1.Cl.O,7.795880017344075,593.1400000000003,2.1951000000000023,131.27,3,5,3,2,0.5028347826484717,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL3909838,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccc(F)cc2O1,8.0,538.6640000000003,2.5980000000000025,99.77000000000001,3,5,3,2,0.5581335528453896,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923622,C[C@@H]1CN[C@@H](C2CC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2ccccc2O1,7.468521082957745,520.6740000000003,2.4589000000000034,99.77000000000001,3,5,3,2,0.5775582493981063,O=C1CNC(=O)C(C2CC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
CHEMBL1923629,C[C@@H]1CN[C@@H](C2CCCCC2)C(=O)N(C)[C@H](C)C(=O)N[C@H](Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1,9.42021640338319,580.7450000000003,3.7683000000000026,99.77000000000001,3,5,3,2,0.5135846800153799,O=C1CNC(=O)C(C2CCCCC2)NCCOc2ccccc2CCCNC(=O)C(Cc2ccccc2)N1,False
