Gene	Gene name	Cell type	nCPM
ENSG00000157017	GHRL	tuft cells	0.0
ENSG00000157017	GHRL	undifferentiated spermatogonia	2.9
ENSG00000157017	GHRL	urothelial cells	2.1
ENSG00000157017	GHRL	vascular endothelial cells	4.1
ENSG00000157017	GHRL	vascular smooth muscle cells	3.3
ENSG00000164406	LEAP2	adipocytes	3.4
ENSG00000164406	LEAP2	adrenal cortex cells	1.8
ENSG00000164406	LEAP2	adrenal medulla cells	0.0
ENSG00000164406	LEAP2	alveolar cells type 1	1.6
ENSG00000164406	LEAP2	alveolar cells type 2	2.3
ENSG00000164406	LEAP2	astrocytes	2.6
ENSG00000164406	LEAP2	b-cells	6.4
ENSG00000164406	LEAP2	basal keratinocytes	7.0
ENSG00000164406	LEAP2	basal prostatic cells	1.8
ENSG00000164406	LEAP2	bergmann glia	1.9
ENSG00000164406	LEAP2	brain excitatory neurons	2.5
ENSG00000164406	LEAP2	brain inhibitory neurons	1.6
ENSG00000164406	LEAP2	breast hormone-responsive cells	6.5
ENSG00000164406	LEAP2	breast lactating cells	2.4
ENSG00000164406	LEAP2	breast myoepithelial cells	3.4
ENSG00000164406	LEAP2	breast secretory cells	4.3
ENSG00000164406	LEAP2	cardiomyocytes	1.4
ENSG00000164406	LEAP2	cdc	7.4
ENSG00000164406	LEAP2	cholangiocytes	72.9
ENSG00000164406	LEAP2	choroid plexus epithelial cells	1.5
ENSG00000164406	LEAP2	colonocytes	33.3
ENSG00000164406	LEAP2	cone photoreceptor cells	12.4
ENSG00000164406	LEAP2	conjunctival goblet cells	5.8
ENSG00000164406	LEAP2	corticotrophs	1.0
ENSG00000164406	LEAP2	cytotrophoblasts	3.6
ENSG00000164406	LEAP2	decidual stromal cells	7.2
ENSG00000164406	LEAP2	differentiating spermatogonia	2.0
ENSG00000164406	LEAP2	distal convoluted tubule cells	1.4
ENSG00000164406	LEAP2	early primary spermatocytes	7.2
ENSG00000164406	LEAP2	early spermatids	8.0
ENSG00000164406	LEAP2	endometrial ciliated cells	4.2
ENSG00000164406	LEAP2	endometrial glandular cells	7.0
ENSG00000164406	LEAP2	endometrial luminal cells	8.1
ENSG00000164406	LEAP2	endometrial secretory cells	5.5
ENSG00000164406	LEAP2	endometrial stromal cells	3.4
ENSG00000164406	LEAP2	enteric stem cells	7.0
ENSG00000164406	LEAP2	enteric transient amplifying cells	7.9
ENSG00000164406	LEAP2	enterocytes	264.5
ENSG00000164406	LEAP2	ependymal cells	1.4
ENSG00000164406	LEAP2	epicardial cells	11.4
ENSG00000164406	LEAP2	epididymal basal cells	7.6
ENSG00000164406	LEAP2	epididymal clear cells	14.3
ENSG00000164406	LEAP2	epididymal efferent duct absorptive cells	38.8
ENSG00000164406	LEAP2	epididymal efferent duct ciliated cells	5.9
ENSG00000164406	LEAP2	epididymal principal cells	3.0
ENSG00000164406	LEAP2	erythrocyte progenitors	1.7
ENSG00000164406	LEAP2	erythrocytes	0.0
ENSG00000164406	LEAP2	esophageal apical cells	8.9
ENSG00000164406	LEAP2	esophageal basal cells	7.0
ENSG00000164406	LEAP2	esophageal suprabasal cells	5.7
ENSG00000164406	LEAP2	extravillous trophoblasts	11.1
ENSG00000164406	LEAP2	fallopian secretory cells	2.6
ENSG00000164406	LEAP2	fallopian tube ciliated cells	1.9
ENSG00000164406	LEAP2	fibro-adipogenic progenitors	5.0
ENSG00000164406	LEAP2	fibroblasts	3.8
ENSG00000164406	LEAP2	foveolar cells	0.3
